repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,231000,https://github.com/donnemartin/system-design-primer
awesome-python,vinta,183000,https://github.com/vinta/awesome-python
tensorflow,tensorflow,178000,https://github.com/tensorflow/tensorflow
Python,TheAlgorithms,170000,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,167000,https://github.com/CyC2018/CS-Notes
AutoGPT,Significant-Gravitas,150000,https://github.com/Significant-Gravitas/AutoGPT
project-based-learning,practical-tutorials,117000,https://github.com/practical-tutorials/project-based-learning
30-seconds-of-code,30-seconds,116000,https://github.com/30-seconds/30-seconds-of-code
transformers,huggingface,113000,https://github.com/huggingface/transformers
free-programming-books-zh_CN,justjavac,105000,https://github.com/justjavac/free-programming-books-zh_CN
thefuck,nvbn,79600,https://github.com/nvbn/thefuck
HelloGitHub,521xueweihan,76100,https://github.com/521xueweihan/HelloGitHub
django,django,73400,https://github.com/django/django
pytorch,pytorch,71300,https://github.com/pytorch/pytorch
flask,pallets,64500,https://github.com/pallets/flask
core,home-assistant,63300,https://github.com/home-assistant/core
fastapi,tiangolo,63100,https://github.com/tiangolo/fastapi
keras,keras-team,59500,https://github.com/keras-team/keras
ansible,ansible,58800,https://github.com/ansible/ansible
devops-exercises,bregman-arie,58400,https://github.com/bregman-arie/devops-exercises
